other_key,together_count,to_fraction,from_fraction
highway,2711498,0.6601,0.3496
surface,1153187,0.2807,0.4187
oneway,822382,0.2002,0.6556
source,742834,0.1808,0.1185
lanes,398113,0.0969,0.7127
maxspeed,353815,0.0861,0.7226
alt_name,321363,0.0782,0.9925
amenity,279801,0.0681,0.6332
addr:street,267073,0.065,0.1619
waterway,267013,0.065,0.1783
building,244499,0.0595,0.024
place,235232,0.0573,0.7884
ref,209518,0.051,0.5646
addr:city,195346,0.0476,0.2207
addr:housenumber,183549,0.0447,0.1258
lit,177856,0.0433,0.7562
addr:suburb,166712,0.0406,0.205
addr:postcode,155643,0.0379,0.2151
source:name,153553,0.0374,0.9906
shop,132314,0.0322,0.8015
operator,105389,0.0257,0.5819
layer,99952,0.0243,0.2192
postal_code,95657,0.0233,0.9587
landuse,95281,0.0232,0.136
access,83745,0.0204,0.2083
leisure,73373,0.0179,0.2351
phone,69843,0.017,0.9819
type,67839,0.0165,0.1937
sidewalk,60472,0.0147,0.8849
public_transport,53773,0.0131,0.3656
old_name,51898,0.0126,0.9805
bus,50021,0.0122,0.3855
bridge,48891,0.0119,0.3408
horse,47821,0.0116,0.7029
foot,46974,0.0114,0.5952
opening_hours,46725,0.0114,0.9106
tunnel,44369,0.0108,0.2051
building:levels,42739,0.0104,0.0308
bicycle,42453,0.0103,0.5018
brand,42226,0.0103,0.9321
website,41272,0.01,0.976
religion,38092,0.0093,0.7678
boundary,37798,0.0092,0.7574
description,37678,0.0092,0.2108
brand:wikidata,37520,0.0091,0.9733
intermittent,37391,0.0091,0.0891
natural,37074,0.009,0.0217
admin_level,35468,0.0086,0.8485
wikipedia,34392,0.0084,0.9797
network,33850,0.0082,0.7734
note,31870,0.0078,0.3843
service,31700,0.0077,0.1079
wikidata,30586,0.0074,0.9488
healthcare,30482,0.0074,0.8714
tourism,29497,0.0072,0.8099
IBGE:CD_ADMINIS,28964,0.0071,0.5513
wheelchair,28419,0.0069,0.5738
operator:type,27748,0.0068,0.7974
height,27021,0.0066,0.0075
denomination,25736,0.0063,0.8584
office,25612,0.0062,0.9111
short_name,23242,0.0057,0.9772
source:maxspeed,22608,0.0055,0.8561
cuisine,21516,0.0052,0.9277
width,19721,0.0048,0.5347
smoothness,19455,0.0047,0.5128
official_name,19097,0.0046,0.4657
brand:wikipedia,17508,0.0043,0.9851
population,17047,0.0042,0.9747
route_ref,16733,0.0041,0.8964
source:highway,16617,0.004,0.4595
crop,16400,0.004,0.5252
IBGE:GEOCODIGO,16227,0.004,0.9728
contact:phone,16063,0.0039,0.9764
gtfs_id,15772,0.0038,0.9122
source:postal_code,15018,0.0037,0.9857
email,14843,0.0036,0.9857
residential,14689,0.0036,0.6552
source:population,14615,0.0036,0.9724
sport,14525,0.0035,0.1664
cycleway:right,14396,0.0035,0.9428
railway,14391,0.0035,0.2764
power,14152,0.0034,0.0109
fixme,13734,0.0033,0.5128
motor_vehicle,13324,0.0032,0.4749
is_in:state,13124,0.0032,0.9799
shelter,12749,0.0031,0.3471
name:en,12279,0.003,0.9411
cycleway:left,11814,0.0029,0.9561
population:date,11570,0.0028,0.9998
network:wikidata,11505,0.0028,0.8576
is_in:municipality,11456,0.0028,0.9814
loc_name,11244,0.0027,0.799
lane_markings,11142,0.0027,0.8368
maxspeed:hgv,11024,0.0027,0.8906
man_made,10912,0.0027,0.0738
name:pt,10682,0.0026,0.9606
level,10631,0.0026,0.2744
route,10048,0.0024,0.7769
location,9841,0.0024,0.2357
oneway:bicycle,9343,0.0023,0.9337
turn:lanes,9270,0.0023,0.8906
shoulder,9176,0.0022,0.7473
check_date,9174,0.0022,0.7216
owner,9043,0.0022,0.7622
internet_access,8956,0.0022,0.9326
gauge,8943,0.0022,0.4413
water,8914,0.0022,0.0516
bench,8904,0.0022,0.3405
operator:wikidata,8836,0.0022,0.4686
electrified,8552,0.0021,0.4579
addr:country,8368,0.002,0.2997
start_date,8140,0.002,0.5527
payment:cash,7693,0.0019,0.8282
junction,7663,0.0019,0.153
barrier,7612,0.0019,0.0205
ele,7550,0.0018,0.0273
ownership,7475,0.0018,0.7639
payment:credit_cards,7432,0.0018,0.8286
public_transport:version,7427,0.0018,0.8706
substation,7371,0.0018,0.9831
source:date,7287,0.0018,0.1068
historic,7210,0.0018,0.6138
usage,7103,0.0017,0.5474
destination,6867,0.0017,0.2898
lanes:forward,6836,0.0017,0.8746
lanes:backward,6774,0.0016,0.8818
old_ref,6719,0.0016,0.7474
from,6450,0.0016,0.9587
to,6450,0.0016,0.9587
tracktype,6354,0.0015,0.0909
payment:debit_cards,6329,0.0015,0.8046
leaf_type,5876,0.0014,0.0169
cycleway,5763,0.0014,0.6535
addr:place,5739,0.0014,0.4656
